URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
https://www.dasts.dk,19,www.dasts.dk,12,0,dk,100,1,0.0022943,0.051350822,2,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,507,9381,1,asts,80,80,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,11,13,59,0,59,1
https://www.applethoughts.com,28,www.applethoughts.com,21,0,com,100,1,0.5229071,0.054331274,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,1394,4417,1,applethoughts,100,100,1,0,0,0,0,1,0,11,0,1,1,0,0,0,0,0,1,17,3,20,122,0,177,1
http://www.yellowleos.phpnet.us,30,www.yellowleos.phpnet.us,24,0,us,54.62603878,0.647058824,0.0045585,0.052961471,2,2,0,0,0,17,0.567,0,0,0,0,0,2,0.067,0,2,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
https://www.madeinchicagomuseum.com,34,www.madeinchicagomuseum.com,27,0,com,100,1,0.5229071,0.063630231,3,1,0,0,0,21,0.618,0,0,0,0,0,1,0.029,1,2179,1902,1,madeinchicagomuseum,100,100,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,52,4,9,483,0,484,1
https://www.operaamerica.org,27,www.operaamerica.org,20,0,org,100,1,0.0799628,0.074107397,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,770,337,1,operaamerica,100,100,1,0,1,0,0,1,0,2,0,1,0,0,1,0,1,0,1,32,3,11,90,0,16,1
https://www.sedaily.com,22,www.sedaily.com,15,0,com,100,1,0.5229071,0.061306372,3,1,0,0,0,9,0.409,0,0,0,0,0,1,0.045,1,3919,1233,1,sedaily,100,100,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,99,47,9,532,7,513,1
http://www.coinbasewalletones.com,32,www.coinbasewalletones.com,26,0,com,59.30309007,1,0.5229071,0.067430911,3,1,0,0,0,20,0.625,0,0,0,0,0,1,0.031,0,9,50,1,inbasewalletones,88.88888889,88.88888889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
https://www.absolar.org.br,25,www.absolar.org.br,18,0,br,100,0.727272727,0.0094423,0.060396368,2,2,0,0,0,11,0.44,0,0,0,0,0,2,0.08,1,2758,9381,1,asolarorg,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,139,54,72,99,0,114,1
https://www.whschool.org,23,www.whschool.org,16,0,org,100,1,0.0799628,0.059912484,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,1286,13258,1,whschool,100,100,1,0,1,0,0,1,0,9,0,1,1,0,0,0,0,0,0,22,2,13,57,6,30,1
http://www.webmail.yourturbe.org,31,www.webmail.yourturbe.org,25,0,org,61.33333333,0.588235294,0.0799628,0.056021933,3,2,0,0,0,18,0.581,0,0,0,0,0,2,0.065,0,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
