iter	MultiClass_SumError	MultiClass_SumWeight
0	116995.0286	130239
1	93898.9268	130239
2	80253.90248	130239
3	71312.38372	130239
4	65375.82089	130239
5	60999.89717	130239
6	57766.74359	130239
7	55288.64428	130239
8	53603.87643	130239
9	52139.41181	130239
10	51144.15316	130239
11	50371.04523	130239
12	49647.71026	130239
13	49157.13899	130239
14	48782.72649	130239
15	48313.57634	130239
16	47993.88786	130239
17	47614.61481	130239
18	47295.34074	130239
19	47074.33747	130239
20	46921.79371	130239
21	46707.83265	130239
22	46500.03065	130239
23	46281.63463	130239
24	46049.79249	130239
25	45930.18226	130239
26	45851.71993	130239
27	45634.87754	130239
28	45487.05845	130239
29	45372.01634	130239
30	44940.20174	130239
31	44732.19002	130239
32	44515.26491	130239
33	44416.23756	130239
34	44257.13786	130239
35	44144.37697	130239
36	43985.29093	130239
37	43756.17698	130239
38	43704.09988	130239
39	43453.39836	130239
40	43359.54137	130239
41	43323.11092	130239
42	43157.25237	130239
43	43074.24499	130239
44	42937.95344	130239
45	42819.45798	130239
46	42684.46501	130239
47	42573.70144	130239
48	42427.32871	130239
49	42259.80191	130239
50	42152.37009	130239
51	42069.0561	130239
52	41982.68768	130239
53	41628.1595	130239
54	41576.97474	130239
55	41437.25028	130239
56	41362.26673	130239
57	41127.32452	130239
58	41033.00748	130239
59	40906.83358	130239
60	40845.26617	130239
61	40789.10713	130239
62	40712.2843	130239
63	40680.21054	130239
64	40600.65155	130239
65	40508.89792	130239
66	40337.22535	130239
67	40253.03656	130239
68	40218.69989	130239
69	40156.9683	130239
70	40126.79641	130239
71	40091.11508	130239
72	40029.57435	130239
73	39936.48419	130239
74	39835.27251	130239
75	39774.06616	130239
76	39681.26704	130239
77	39629.22844	130239
78	39560.45994	130239
79	39504.90932	130239
80	39456.34126	130239
81	39422.79963	130239
82	39339.10362	130239
83	39297.84533	130239
84	39277.14176	130239
85	39223.05393	130239
86	39163.87369	130239
87	39104.38047	130239
88	39064.68443	130239
89	39037.58914	130239
90	39002.03094	130239
91	38931.3888	130239
92	38879.69986	130239
93	38810.40863	130239
94	38751.54582	130239
95	38715.89987	130239
96	38699.95745	130239
97	38666.82066	130239
98	38549.13584	130239
99	38524.37788	130239
