iter	Passed	Remaining
0	441	43717
1	801	39256
2	1158	37458
3	1568	37632
4	1954	37143
5	2294	35945
6	2666	35429
7	3002	34532
8	3347	33843
9	3693	33243
10	4030	32613
11	4391	32203
12	4758	31847
13	5116	31432
14	5479	31052
15	5848	30704
16	6204	30294
17	6547	29829
18	6886	29357
19	7220	28881
20	7574	28494
21	7906	28031
22	8264	27667
23	8631	27333
24	8984	26954
25	9347	26605
26	9711	26256
27	10068	25890
28	10413	25494
29	10787	25170
30	11160	24841
31	11500	24438
32	11849	24057
33	12194	23671
34	12545	23298
35	12904	22940
36	13309	22661
37	13669	22302
38	14015	21922
39	14357	21535
40	14719	21182
41	15047	20780
42	15392	20404
43	15736	20028
44	16077	19650
45	16436	19294
46	16775	18916
47	17114	18541
48	17611	18329
49	17996	17996
50	18348	17628
51	18694	17256
52	19053	16896
53	19394	16521
54	19755	16163
55	20102	15795
56	20433	15414
57	20777	15045
58	21116	14674
59	21472	14315
60	21808	13942
61	22139	13569
62	22480	13203
63	22813	12832
64	23143	12462
65	23472	12092
66	23824	11734
67	24178	11378
68	24529	11020
69	24871	10659
70	25201	10293
71	25615	9961
72	25961	9602
73	26322	9248
74	26667	8889
75	27008	8529
76	27348	8169
77	27705	7814
78	28065	7460
79	28427	7106
80	28781	6751
81	29105	6389
82	29442	6030
83	29795	5675
84	30149	5320
85	30482	4962
86	30820	4605
87	31144	4246
88	31472	3889
89	31843	3538
90	32184	3183
91	32641	2838
92	32993	2483
93	33366	2129
94	33779	1777
95	34154	1423
96	34596	1070
97	34954	713
98	35298	356
99	35636	0
