iter	MultiClass
0	0.8988445886
1	0.7214331997
2	0.6169060365
3	0.5483415925
4	0.5029334714
5	0.4694257266
6	0.4445875772
7	0.4255763684
8	0.4125472213
9	0.401159823
10	0.393590469
11	0.3874969953
12	0.3818909608
13	0.3780075998
14	0.3751820833
15	0.3715133873
16	0.3692216491
17	0.3662365468
18	0.3637583924
19	0.3621011748
20	0.3608224153
21	0.3590589667
22	0.3574228894
23	0.3557475076
24	0.3540494491
25	0.3531399472
26	0.3525201337
27	0.3507935058
28	0.3495403499
29	0.3486072462
30	0.3454138695
31	0.3438700269
32	0.3421371606
33	0.3414102535
34	0.3401854131
35	0.3392451185
36	0.3379057393
37	0.3360911711
38	0.3356774981
39	0.3336489374
40	0.3328190502
41	0.3325595273
42	0.3311878933
43	0.3305587986
44	0.3294405588
45	0.3284686856
46	0.327417852
47	0.3265264913
48	0.3253160763
49	0.324031176
50	0.3231704958
51	0.322492549
52	0.3217607366
53	0.319064641
54	0.3186735663
55	0.317410153
56	0.316812887
57	0.3149159249
58	0.3141211461
59	0.3131186765
60	0.3126163848
61	0.3121903127
62	0.3116109454
63	0.3113494531
64	0.3106678178
65	0.3099768424
66	0.3087190694
67	0.308065476
68	0.3077843985
69	0.3072985794
70	0.3070516171
71	0.3067754598
72	0.30628357
73	0.3055223609
74	0.3047150583
75	0.3042083499
76	0.3034284593
77	0.3029302514
78	0.3023376187
79	0.3019155988
80	0.3014604595
81	0.3011992431
82	0.3004600909
83	0.3001373104
84	0.2999474132
85	0.2995010233
86	0.2990101723
87	0.2984853544
88	0.2981476494
89	0.2979100801
90	0.2976172306
91	0.2970401915
92	0.2966247366
93	0.2960569455
94	0.2955247354
95	0.2952646637
96	0.2951394432
97	0.2948866997
98	0.2938011925
99	0.2935784846
