iter	Passed	Remaining
0	536	53077
1	1021	50051
2	1903	61535
3	2335	56057
4	2799	53188
5	3221	50463
6	3645	48429
7	4072	46836
8	4468	45178
9	4847	43624
10	5245	42441
11	5643	41385
12	6043	40446
13	6453	39640
14	6886	39021
15	7386	38780
16	7986	38995
17	8417	38348
18	8826	37626
19	9254	37017
20	9697	36480
21	10122	35887
22	10532	35261
23	10960	34706
24	11487	34462
25	11900	33870
26	12351	33393
27	12765	32825
28	13186	32283
29	13594	31720
30	13997	31155
31	14399	30599
32	14791	30030
33	15192	29491
34	15595	28962
35	15994	28435
36	16405	27933
37	16799	27410
38	17219	26933
39	17623	26435
40	18019	25931
41	18411	25425
42	18807	24931
43	19218	24459
44	19609	23966
45	20015	23496
46	20422	23029
47	20824	22560
48	21246	22113
49	21644	21644
50	22062	21197
51	22476	20747
52	22865	20276
53	23268	19821
54	23658	19357
55	24065	18908
56	24462	18454
57	24856	17999
58	25278	17566
59	25679	17119
60	26124	16702
61	26523	16256
62	26923	15812
63	27338	15377
64	27727	14930
65	28160	14507
66	28558	14066
67	28946	13621
68	29365	13193
69	29767	12757
70	30208	12338
71	30606	11902
72	31019	11472
73	31466	11055
74	31864	10621
75	32272	10191
76	32667	9757
77	33086	9332
78	33502	8905
79	33896	8474
80	34311	8048
81	34702	7617
82	35130	7195
83	35544	6770
84	35941	6342
85	36358	5918
86	36768	5494
87	37182	5070
88	37594	4646
89	37995	4221
90	38426	3800
91	38847	3378
92	39252	2954
93	39666	2531
94	40087	2109
95	40496	1687
96	40906	1265
97	41323	843
98	41746	421
99	42164	0
