URL_Length,URL_Depth,Redirection,Https,TinyURL,Prefix/Suffix,Domain_Age,Domain_Registration_Length,Label
20,0,0,0,0,0,268,365,0
21,0,0,0,0,0,8971,9131,0
29,0,0,0,0,1,0,0,0
43,0,0,0,0,1,0,0,0
34,0,0,0,0,1,4334,4383,0
35,0,0,0,0,1,0,0,0
24,0,0,0,0,1,3725,0,0
42,0,0,0,0,0,0,0,0
31,0,0,0,0,1,0,0,0
35,0,0,0,0,1,151,365,0
24,0,0,0,0,1,247,365,0
34,0,0,0,0,1,1,365,0
32,1,0,0,0,1,2,365,0
22,0,0,1,0,0,10103,11322,1
25,0,0,1,0,0,8887,9131,1
19,0,0,1,1,0,13087,14974,1
22,0,0,1,0,0,11152,11321,1
29,0,0,1,0,0,7809,8073,1
23,0,0,1,0,0,11439,12054,1
27,0,0,1,0,0,7000,8401,1
24,0,0,1,0,0,4871,5114,1
20,0,0,1,0,0,10086,10194,1
19,0,0,1,1,0,0,0,1
